lemma,entry,definition,dcc
"scio","sciō, scīre, scīvī/sciī, scītum","know, understand, perceive, be aware; have (certain) knowledge of (as opposed to mere belief);  have knowledge of, be skilled in","false"
"secedo","sēcēdō, sēcēdere, sēcessī, sēcessum","detach oneself, withdraw, move away (often to a private place); secede (i.e., withdraw in protest or revolt), dissociate oneself; withdraw from Rome to the country (for vacation or in retirement from public life)","false"
"secius","sēcius/sētius","to a lesser degree, less readily; \textit{nihilō sēcius/sētius} none the less, for all that, just the same","false"
"secundus","secundus, secunda, secundum","following; favorable, supporting, helpful, propitious; second","false"
"securus","sēcūrus, sēcūra, sēcūrum","free from care, fear, anxiety, untroubled, undisturbed, tranquil; negligent, indifferent, nonchalant, careless, perfunctory (i.e., lacking proper concern or care); free from danger, safe, immune (from something negative)","false"
"sed","sed","but; however","false"
"semel","semel","once, a single time, the first time; only once, just once, once and for all; at any one time, once, ever; at one and the same time, simultaneously","false"
"semper","semper","ever, always, at all times, continually, perpetually, forever","false"
"sensus","sēnsus, sēnsūs, m.","sensation, capacity to perceive by the senses; any one of the five senses; a sensation, any impression by a sense; the faculties of perception; self-awareness, consciousness, awareness (in general or of something other than oneself); judgement, the faculty of making distinctions, sensibility, perception of what is appropriate or right; a mental feeling, emotion, thought, idea; character, disposition","false"
"sentio","sentiō, sentīre, sēnsī, sēnsum","perceive by one of the senses; (less literally) perceive, feel, discern, recognize, become aware of; hold or express a given belief or opinion, think, feel, opine; mean, intend, have in mind","false"
"separo","sēparō (1)","divide (off), separate, split up, divide up; keep separate, cut off, isolate, part; debar, exclude; separate (in thought or writing) treat as distinct, exclude from consideration","false"
"sequor","sequor, sequī, secūtus (sequutus) sum","follow, go after, go behind; pursue, chase, follow; follow in time or sequence, succeed, come after; follow from, follow logically; escort, accompany, attend","false"
"series","seriēs, seriēī, f","a series, a row, a line, procession, connected system; a continuous series, succession, sequence; a line of ancestors or descendants","false"
"serio","sēriō","seriously, in earnest, soberly, not lightly or playfully","false"
"serius","sērius, sēria, sērium","weighty, important, serious; grave or serious in appearance or character","false"
"setius","sētius/sēcius","to a lesser degree, less readily; \textit{nihilō sētius/sēcius} none the less, for all that, just the same","false"
"seu","seu/sīve","or if; (repeated) whether\dots or; if\dots or","false"
"si","sī","if, supposing that","false"
"sic","sīc","so, thus, in this manner, just so; as follows; in this way, so\dots (that), in such a way (that)","false"
"significatio","significātiō, significātiōnis, f.","the action of giving signs or signals; action or fact of conveying information; outward sign, expression, intimation, indication; suggestion, hint; the meaning, sense (of a word, expression, work, etc.)","false"
"similis","similis, simile","like, similar; \textit{vērī/vērō similis} resembling the truth, likely, reasonable, plausible, probable","false"
"similitudo","similitūdō, similitūdinis, f.","similarity, likeness, resemblance; a similar thing, that which resembles something, a likeness; a simile, analogy, comparison","false"
"simplex","simplex, simplicis","having a single layer, fold, etc., single, onefold; simple, uncompounded, undecorated, plain; alone, standing alone, separate; free from complications, straightforward, simple; artless, ingenuous, innocent, direct, candid","false"
"simul","simul","at the same time, together; at once, as soon as","false"
"sine","sine","\textit{preposition with ablative} without","false"
"singulī","singulī, singulae, singula","one apiece, one to each; each one, every single; taken separately, one by one, individual","false"
"siquidem","sīquidem","(as a strong conditional) if it is really possible that, if indeed; (concessive) even supposing; (adding a caveat or rider) at any rate if, always assuming that; (qualifying an assertion) if it is really the case that","false"
"sīrēna","sīrēna","a siren","false"
"sive","sīve/seu","or if; (repeated) whether\dots or; if\dots or","false"
"soleo","soleō, solēre, solitus sum","be accustomed (to), make it a practice (to); be liable (to), be likely (to), be apt (to); (with neuter pronoun or after \textit{ut}) be the common practice, be the norm, be the usual case","false"
"solus","solus, sola, solum","alone, only; lonely; only one, single, sole","false"
"solvo","solvō, solvere, solvī, solūtus","release, set free; dissolve, take apart; resolve, settle, solve","false"
"somnio","somniō (1)","dream; daydream; have idle thoughts about, have delusions about","false"
"somnium","somnium, somniī, n.","a dream, vision; idle hope, fantasy, delusion, daydream","false"
"somnus","somnus, somnī, m.","sleep; sleepiness, drowsiness; (euphemistically) (eternal) rest, death","false"
"sonus","sonus, sonī, m.","sound, noise; articulate sound, speech","false"
"sopio","sōpiō (4)","cause to sleep, put to sleep, overcome with sleep; render unconscious, knock out","false"
"spatium","spatium, spatiī, n.","ground used for athletics or horse racing, a course; a circuit or lap of a racecourse; area, space, room; surface area, extent, size; a stretch of time, period, term, duration","false"
"spero","spērō (1)","hope (for), look forward (to); hope (that); anticipate, apprehend","false"
"sponte","sponte","voluntarily, of one's own will, without prompting, of one's own accord; deliberately, purposely; unaided, without help; spontaneously, of itself","false"
"stabilio","stabiliō (4)","make firm, make steady; fix or establish firmly","false"
"statim","statim","immediately, at once, without delay; \textit{with ē/ex} immediately after, straight from","false"
"statuo","statuō, statuere, statuī, statūtum","cause to stand, set up, set, establish; build, put up (a structure); establish, found (a city); decide, determine, judge, deem","false"
"sterno","sternō, sternere, strāvī, strātum","lay out on the ground (or other surface), spread; lay (stones, etc.) to form a pavement or the like, lay (a pavement or floor); scatter over the ground, strew; stretch in a horizontal position, stretch out (one's) limbs; bring to the ground, level, knock down, lay flat; strike down, stretch lifeless, lay low; overthrow, defeat utterly","false"
"strepitus","strepitus, strepitūs, m.","a sound, a noise (inexpressive or meaningless sound or noise, not speech); clamor, uproar; din, turmoil","false"
"studeo","studeō, studēre, studuī, ———","give attention, be eager, be zealous; take pains, be  diligent, be busy with, be devoted, apply oneself; strive after, pursue, desire, wish","false"
"stupor","stupor, stupōris, m.","numbness, insensibility; bewilderment, stupefaction; dullness of apprehension, stupidity; (metonymically) a stupid person, a clod","false"
"sub","sub","\textit{preposition with accusative and ablative} (with accusative) to a position below or underneath, under; down to, down into, down under; up to, to the edge of; just before (a time or event); until, up to; directly after, in response to, as a consequence of; (with ablative) under, below, beneath, underneath; at the foot of, below; immediately behind, next to","false"
"subduco","subdūcō, subdūcere, subdūxī, subductum","draw up, raise, lift; withdraw, draw off, lead away, take away, subtract, remove; steal","false"
"subtilitas","subtīlitās, subtīlitātis, f.","fineness, extreme slenderness; fineness of detail, delicate work; fineness of perception, acuteness, refinement; attentiveness to finer points, subtlety, minute thoroughness","false"
"succedo","succēdō, succēdere, successī, successum","move below, come under; come to the foot (of), come up (to), come as far (as), approach close (to); advance to a higher level, move upwards, advance up; move up into the position (of), move up (somewhere) as a replacement or relief; become successor (to someone), take over (from), succeed (to an office, etc.), take the place (of); come after; succeed, turn out well, prosper","false"
"sufficio","sufficiō, sufficere, suffēcī, suffectum","supply, provide (especially as a replacement); appoint to a magistracy (in place of another or in case of vacancy); substitute (one thing for another); have sufficent strength, be equal (to), stand up (to); be sufficient (in quantity, extent, degree, etc.), suffice","false"
"suffodio","suffodiō, suffodere, suffōdī, suffossum","dig or tunnel under; undermine (i.e., dig under a wall so as to weaken its foundations); pierce below","false"
"sui","suī","(\nth{3} person reflexive pronoun) himself, herself, itself, themselves","false"
"sum","sum, esse, fuī, futūrum","be, exist; be real, be true","false"
"summus","summus, summa, summum","highest, topmost, uppermost; the top or summit (of); latest (in time or sequence), final; developed to the height of excellence, perfect; highest in rank, supreme, most exalted","false"
"sumo","sūmō, sūmere, sūmpsī, sūmptum","take into one's hands, take up; put on; take (food, drink, medicine, etc.); assume possession of, take; get, procure, borrow, exact, derive; take and apply (to some purpose), spend (money, time, effort); adopt as suitable for some purpose, pick, choose; adopt, make one's own (a child, a practice, an idea, etc.)","false"
"super","super","\textit{adverb and preposition with accusative and ablative} (adverb) over, above, in a higher position; on the surface or upper part, on top (of); in addition, besides (= \textit{insuper}); after what has been taken, left over, remaining (often elliptical for \textit{superest}); to an excess degree, more than sufficiently, too much, in excess; (with accusative) over, above, beyond; in close succession, (soon) after; in addition to, over and above, besides; beyond, more than, to a greater degree or extent than, above; (with ablative) higher than, over; on the top of, on the uppermost part of; about, concerning, on; in close succession to, on top of; in addition to, over and above","false"
"superaedificatus","superaedificātus, superaedificāta, superaedificātum","built on top of (not in \textbf{OLD})","false"
"superextruo","superextruō, superextruere, superextrūxī, superextūctum","build or pile on top of or onto (not in \textbf{OLD})","false"
"supersum","supersum, superesse, superfuī, superfutūrum","be higher (than), be on top (of); be set (over); be superior (to); be additional to the requirements or needs (of), be superfluous, be in excess (of), be beyond the capacity (of); remain, be left over, survive, remain in existence; remain (to be done, performed, handled, etc.)","false"
"suppono","suppōnō, suppōnere, supposuī, suppositum","place under or beneath, place at the foot of; apply from below; place under the authority or control (of), make subject (to); place below (in writing or speech), append; put in place of another, substitute; put forward fraudulently, put forward as (someone or something) that (they, it) are not, falsify, forge, counterfeit","false"
"supra","suprā","\textit{preposition with ablative} on the upper side (of), on the top (of), above; earlier than; more than, exceeding, beyond; in charge of, over, in command of","false"
"suspicio","suspiciō, suspiciōnis, f.","a suspicion, mistrustful feeling; a slight idea, inkling; a faint indication, suggestion, trace","false"
"suspicor","suspicor (1)","form an idea of, guess, imagine, infer; suspect, have an inkling of (something wrong); suspect, believe (a person) guilty (of something), be suspicious of, mistrust","false"
"suus","suus, sua, suum","of oneself, belonging to oneself; (emphatic) one's very own, belonging to someone (and no other), particularly associated or characteristic of one; his own, her own, their own; his, her, its, their","false"
"taceo","taceō (2)","be silent, not speak, say nothing; say nothing about, omit mention of, pass over in silence (with \textit{dē} or accusative direct object)","false"
"tactio","tactiō, tactiōnis, f.","a touching, the act of touch","false"
"tactus","tactus, tactūs, m.","action or fact of physical contact, touch; sense of touch; tactile qualities (i.e. the touch or feel of something); contact, influence","false"
"talis","tālis, tāle","of such a character, kind, or type; of such an exceptional (for good or bad) sort, such (a)","false"
"tam","tam","to such a degree, to such an extent, to that extent, so, so much","false"
"tamdiu","tamdiū","(for) so long, all this time","false"
"tamen","tamen","all the same, nevertheless, yet, just the same, in spite of what has been said","false"
"tamquam","tamquam","in the same way, to the same degree, just as; a kind of, quasi- (when applying a term to something improperly); (with conditional clause) just as (if); as for example; (with subjunctive) in the same way as if, as though; (with subjunctive) as though (introducing a hypothesis or something contrary-to-fact); (indicating a circumstance as the basis for some action) on the ground that","false"
"tandem","tandem","(for emphasis, expressing a strong sense of protest or impatience) really, I ask you, after all; after some time, at last, at length, finally","false"
"tango","tangō, tangere, tetigī, tāctum","touch; be immediately next to, border on; arrive at, reach; (of feelings, etc.) touch, affect, affect with emotion; make slight mention of, touch on; (colloquial) deprive fraudulently, steal by cheating","false"
"tantum","tantum","to such an extent or degree; for such a time, for such a distance; only, just, merely","false"
"tantummodo","tantummodo","only, merely, only just","false"
"tantus","tantus, tanta, tantum","so big, so great (in size, importance, degree, etc.), so much; (plural) so many, so vast a number of","false"
"tempto","temptō/tentō (1)","to handle, touch, feel; try","false"
"tempus","tempus, temporis, n.","(moment or period of) time; the time, the date (for something), (appointed) time; season, any recurrent period or phase; (usually plural) a period in history, times; proper or due time; favorable time, opportunity; circumstances (existing at a particular time), moment, occasion","false"
"tendo","tendō, tendere, tetendī, tēnsum/tentum","extend outwards or upwars, stretch or hold out, offer; direct, aim; stretch out, extend (in time or space), spread out; pitch camp; exert strain on, pull tight; direct (one's steps, course, etc.), proceed; reach (to or as far as); progress, move on (to another stage, condition, etc.); (intransitive) press on, insist; (intransitive) make an effort, exert oneself, strain; (with infinitive) strive, aim (to do)","false"
"tenebrae","tenebrae, tenebrārum, f.","darkness; (figurative) mental darkness, ignorance, lack of knowledge or understanding; obscurity, concealment, a condition where something is unknown or unobserved","false"
"tento","tentō/temptō (1)","handle, touch, feel; test, seek to discover the state of; test, try out, attempt, try (to do); examine, try to find out about; make an attempt on, try to get possession of","false"
"tenuis","tenuis, tenue","thin, slender, narrow, fine, fine-meshed; (of various substances) watery, rarefied, insubstantial; pure, clear, fine","false"
"termino","terminō (1)","mark boundaries of; form a boundary of, border; define, delimit, determine the limits of; limit, restrict; fix or lay down a limit; bring to a close or end, conclude; settle, decide","false"
"terra","terra, terrae, f.","earth; land, ground, soil","false"
"timeo","timeō (2)","fear, be afraid, be fearful, be apprehensive, be afraid of, dread, apprehend","false"
"toga","toga, togae, f.","a covering, clothing; Roman outer garment, toga","false"
"tollo","tollō, tollere, sustulī, sublātum","pick up, raise, lift, hoist; climb up, ascend; take (on to a ship or vehicle), pick up, take on board; raise the spirits or morale of, hearten, rouse; pick up and remove, take away, carry off; carry away, reap; take, steal; take out, remove, exclude; get rid of, remove, eliminate, destroy, kill, do away with, eliminate","false"
"totus","tōtus, tōta, tōtum","the whole of, all, complete, every part of, throughout the whole, all over the; free from defect or damage, unimpaired, entire","false"
"tracto","tractō (1)","keep on pulling or dragging, drag about; handle, work (with the hands), manipulate, treat manually; have dealings with, have to do with, deal with, treat (in some manner); (reflexive) conduct oneself; manage, handle, employ (affairs, means, resources); carry out, practice, perform; examine, consider; (intransitive) deliberate, carry on a discussion; deal with, discuss, treat (a theme, subject, idea)","false"
"transeo","trānseō, trānsīre, trānsīvī/trānsiī, trānsitum","come or go across, cross over; move on; transfer allegiance, go over; change one's nature, appearance, etc., be transformed; proceed, be in transit, pass through; go through, run through; go past, pass by; overtake, pass, pass beyond, go farther than","false"
"transfero","trānsferō, trānsferre, trānstulī, trānslātum","bear across, carry or bring over; change the location of, transfer, transpose, shift, transplant; transfer (something) from one person (place, etc.) to another, transfer control or possession of; translate; bring (someone, something) over to (something new); change, transform","false"
"tres","trēs, tria","three","false"
"triangularis","triangulāris, triangulāre","triangular","false"
"tribuo","tribuō, tribuere, tribūtum","share out, divide, apportion; grant, bestow, award; allocate, devote, apply; attribute or ascribe (something to someone), impute, attribute (to something), ascribe (to a cause); place value (on), pay regard (to); give credit, pay respect (to)","false"
"tum","tum","then, at that time, moment, date; next, after that; in addition, moreover, besides","false"
"turbo","turbō (1)","(intransitive) act turbulently, riot, revolt; (transitive) agitate, stir up, disturb","false"
"ubi","ubī/ubi","in what place? where?; where; when","false"
"ullus","ūllus, ūlla, ūllum","any, any at all; anyone, anything","false"
"ultimus","ultimus, ultima, ultimum","most distant, farthest away, endmost; remotest in time, earliest; latest in time, final, ultimate, last (in sequence); final, critical, decisive","false"
"umquam","umquam","at any time, ever; at all","false"
"unde","unde","from what place? where\dots from? whence? from which place, whence, from which (point, situation, source, etc.), from whom","false"
"universalis","ūniversālis, ūniversāle","having general application, universal, applying to all","false"
"unus","ūnus, ūna, ūnum","one, a single","false"
"unusquisque","ūnusquisque, ūnaquaeque, ūnumquidque/ūnumquicque/ūnumquodque","each one, every single one","false"
"usitatus","ūsitātus, ūsitāta, ūsitātum","familiar, everyday, commonly used or practiced","false"
"ut","ut","as; when; how; (introducing various subordinate clauses)","false"
"uter","ūter, ūtra, ūtrum","which (of two)?","false"
"utor","ūtor, ūtī, ūsus sum","use, make use of, put to use, employ; manage, handle, control; exercise, engage in, practice; (with adverb or predicate adjective) put to (such-and-such a) use; experience, undergo, enjoy","false"
"utrimque","ūtrimque","from or on both sides or ends","false"
"vaco","vacō (1)","be vacant, empty, or unfilled; be without occupants or an owner; be destitute or devoid (of), be free (from); be left free for, be available to; be unengaged, have leisure, be free, have time to spare","false"
"validus","validus, valida, validum","strong, powerful, robust, sturdy; thriving, flourishing; fit, in sound health; solid, substantial; powerful, vehement, intense","false"
"vapor","vapor, vapōris, m.","steam, exhalation, vapor; heat, warmth","false"
"varietas","varietās, varietātis, f.","difference, diversity, variety","false"
"vel","vel","(non-exclusive) or; \textit{vel\dots vel} either\dots or","false"
"velut","velut","as for example, for instance; in the same way that, just as, just like; as it were, so to speak; as if, as though; (giving a justification) as being","false"
"venio","veniō, venīre, vēnī, ventum","come, approach, arrive","false"
"verbum","verbum, verbī, n.","a word; (sometimes specifically) a verb","false"
"vereor","vereor, verērī, veritus sum","fear, be afraid of; show reverence or respect for, be in awe of","false"
"verisimilis","vērisimilis, vērisimile","seeming true, appearing true, consistent with the truth, like the truth","false"
"veritas","veritās, veritātis, f.","truth; reality; the state of being real or actual","false"
"verto","vertō, vertēre, vertī, versum","(cause to) turn, spin; depend on, turn on, hinge on; overturn, knock down, ruin; turn around, invert, reverse, transpose; (cause to) turn the other way; (cause to) turn tail, make flee, put to flight; turn or change the position or direction of (something)","false"
"verumtamen","vērumtamen","but even so, still, nevertheless","false"
"verus","vērus, vēra, vērum","real, genuine, actual; true, proper","false"
"vestio","vestiō (4)","cover with a garment, provide with clothing, dress, clothe, cover","false"
"vestis","vestis, vestis, f.","an item of clothing, garment, piece of clothing; clothes (collectively); garments, clothing","false"
"veto","vetō, vetāre, vetuī, vetitum","forbid, prohibit, hinder, prevent","false"
"vetus","vetus, veteris","old, having lived a long time; belonging to the past, old-time","false"
"via","via, viae, f.","road, track, path (made for travel); passage, channel, duct, course; a journey, march, fact or instance of traveling","false"
"videlicet","vidēlicet","it is plain to see, it is clear (that); evidently, plainly; (ironic) of course, no doubt, obviously; that is to say, that is","false"
"video","videō, vidēre, vīdī, vīsum","see; notice, observe; be a witness of; meet, see (people, events, etc.); appreciate, perceive, note with understanding","false"
"vigil","vigil, vigilis, m.","a sentry, guard, person who keeps watch","false"
"vigil","vigil, vigilis","awake, watchful, wakeful; alert, vigilant, paying watchful attention","false"
"vigilia","vigilia, vigiliae, f.","wakefulness, sleeplessness, lying awake; action or fact of keeping watch, a patrol, a guard; watchful attention, vigilance","false"
"vigilo","vigilō","stay awake; be watchful, be alert","false"
"vis","vīs, vis, f.","force, violence; compulsion, constraint; power, influence, strength","false"
"visio","vīsiō, vīsiōnis, f.","the act or sense of seeing, vision; an appearance, sight; mental image","false"
"visus","vīsus, vīsūs, m.","faculty or power of seeing, sight, vision; action of seeing, glance, gaze, sight; that which his seen, a sight","false"
"vita","vīta, vītae, f.","life; a way of life, a mode of life","false"
"vito","vītō (1)","move out of the way, avoid, dodge, keep out of the way of, keep clear of; steer clear of, shun, avoid","false"
"vitrum","vitrum, vitrī, n.","glass; something made of glass","false"
"vix","vix","with difficulty; hardly, scarcely, barely","false"
"voco","vocō (1)","call, summon, invite; invoke, call upon; call together, convoke; designate, call by name, call (something)","false"
"volo","volō, velle, voluī, ———","wish, want, desire; be willing, be prepared (to); be about (to), be on the point (of)","false"
"voluntas","voluntās, voluntātis, f.","will, volition; one's will or wish, what one wants to happen; readiness (to do or agree to someting), willingness, approval; choice, option (as opposed to compulsion); deliberate choice; intention, inclination; disposition; favorable disposition, goodwill, sympathy","false"
"vox","vox, vōcis, f.","(the human) voice; a sound (produced by voice), utterance; sound (in general); (singular or plural) spoken utterance, words","false"
"vulgo","vulgō","publicly; in the usual way, according to the general rule or practice, generally, commonly; commonly, habitually, regularly; all together, en masse; far and wide, all over the place, at wide","false"
"vulgus","vulgus, vulgī, n. (m.)","the common people, general public; a multitude, crowd (often derogatory); a flock or group of animals","false"
"vultus","vultus, vultūs, m.","facial expression, look, countenance; face, front of the head; a surface, a face (of an object); one's gaze, one's view; appearance of a face, looks, features; (of a physical object) outward appearance, face; (of an abstract thing) aspect, appearance","false"
